CBOE Volume and Put/Call Ratio data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action.  As of June 11 2012 the volume of exchange-traded products is represented as a unique product category.  Historical index volume from November 1 2006 through May 31 2012 is based on cleared volume as reported by the OCC. The volume data reflected after May 31 2012 below is based upon preliminary reported volume rather than cleared volume. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CBOE Volume and Put/Call Ratio data is subject to the Terms and Conditions of CBOE's Websites.,,,,
, PRODUCT: ETP,,EXCHANGE: CBOE,
DATE,CALL,PUT,TOTAL,P/C Ratio
6/1/2009,643461,757024,1400485,1.18
6/2/2009,436677,502481,939158,1.15
6/3/2009,424322,476540,900862,1.12
6/4/2009,363744,524536,888280,1.44
6/5/2009,469451,577882,1047333,1.23
6/8/2009,275675,391297,666972,1.42
6/9/2009,341103,416425,757528,1.22
6/10/2009,475621,475574,951195,1
6/11/2009,453706,531837,985543,1.17
6/12/2009,451670,588796,1040466,1.3
6/15/2009,559041,642555,1201596,1.15
6/16/2009,526555,694352,1220907,1.32
6/17/2009,549240,805318,1354558,1.47
6/18/2009,594205,683738,1277943,1.15
6/19/2009,674687,948352,1623039,1.41
6/22/2009,434702,648063,1082765,1.49
6/23/2009,339006,523776,862782,1.55
6/24/2009,377376,507922,885298,1.35
6/25/2009,392436,501908,894344,1.28
6/26/2009,288801,392188,680989,1.36
6/29/2009,416172,366638,782810,0.88
6/30/2009,394785,537512,932297,1.36
7/1/2009,449340,356549,805889,0.79
7/2/2009,377238,659409,1036647,1.75
7/6/2009,397529,494035,891564,1.24
7/7/2009,401082,627121,1028203,1.56
7/8/2009,600041,860839,1460880,1.43
7/9/2009,368774,690301,1059075,1.87
7/10/2009,387865,714555,1102420,1.84
7/13/2009,621298,626271,1247569,1.01
7/14/2009,591398,405804,997202,0.69
7/15/2009,869940,918991,1788931,1.06
7/16/2009,629248,600948,1230196,0.96
7/17/2009,525055,578640,1103695,1.1
7/20/2009,402191,444721,846912,1.11
7/21/2009,299775,397148,696923,1.32
7/22/2009,405826,498312,904138,1.23
7/23/2009,625162,774149,1399311,1.24
7/24/2009,309012,426813,735825,1.38
7/27/2009,320857,442346,763203,1.38
7/28/2009,370333,419062,789395,1.13
7/29/2009,399216,692789,1092005,1.74
7/30/2009,555727,522047,1077774,0.94
7/31/2009,370146,477071,847217,1.29
8/3/2009,497818,499929,997747,1
8/4/2009,426136,635259,1061395,1.49
8/5/2009,395159,483027,878186,1.22
8/6/2009,356328,658579,1014907,1.85
8/7/2009,526140,676543,1202683,1.29
8/10/2009,308156,430212,738368,1.4
8/11/2009,337566,418085,755651,1.24
8/12/2009,357221,655778,1012999,1.84
8/13/2009,343141,613371,956512,1.79
8/14/2009,373695,702228,1075923,1.88
8/17/2009,483999,732676,1216675,1.51
8/18/2009,363219,560043,923262,1.54
8/19/2009,445335,643560,1088895,1.45
8/20/2009,491661,591756,1083417,1.2
8/21/2009,736628,675007,1411635,0.92
8/24/2009,346969,430856,777825,1.24
8/25/2009,369261,515109,884370,1.39
8/26/2009,271194,594888,866082,2.19
8/27/2009,370148,509158,879306,1.38
8/28/2009,386892,529995,916887,1.37
8/31/2009,326102,474164,800266,1.45
9/1/2009,641209,985667,1626876,1.54
9/2/2009,468971,669735,1138706,1.43
9/3/2009,407485,691213,1098698,1.7
9/4/2009,442581,638227,1080808,1.44
9/8/2009,463565,503098,966663,1.09
9/9/2009,729611,861973,1591584,1.18
9/10/2009,520287,643321,1163608,1.24
9/11/2009,667755,774657,1442412,1.16
9/14/2009,397023,544074,941097,1.37
9/15/2009,524561,641165,1165726,1.22
9/16/2009,848519,772848,1621367,0.91
9/17/2009,670398,980396,1650794,1.46
9/18/2009,541943,796032,1337975,1.47
9/21/2009,500440,373390,873830,0.75
9/22/2009,309212,385771,694983,1.25
9/23/2009,412991,751985,1164976,1.82
9/24/2009,501657,710530,1212187,1.42
9/25/2009,432178,647300,1079478,1.5
9/28/2009,247690,477378,725068,1.93
9/29/2009,348893,475405,824298,1.36
9/30/2009,440830,884660,1325490,2.01
10/1/2009,616113,858563,1474676,1.39
10/2/2009,469628,708990,1178618,1.51
10/5/2009,320726,481431,802157,1.5
10/6/2009,497073,723851,1220924,1.46
10/7/2009,278577,387886,666463,1.39
10/8/2009,494786,578677,1073463,1.17
10/9/2009,336451,386663,723114,1.15
10/12/2009,353310,424982,778292,1.2
10/13/2009,335457,402753,738210,1.2
10/14/2009,680023,613989,1294012,0.9
10/15/2009,474580,594646,1069226,1.25
10/16/2009,614521,610111,1224632,0.99
10/19/2009,339123,516922,856045,1.52
10/20/2009,301181,450025,751206,1.49
10/21/2009,357258,710234,1067492,1.99
10/22/2009,423227,532163,955390,1.26
10/23/2009,361842,467318,829160,1.29
10/26/2009,430873,533800,964673,1.24
10/27/2009,338851,502310,841161,1.48
10/28/2009,478018,927669,1405687,1.94
10/29/2009,441478,638583,1080061,1.45
10/30/2009,603809,1101012,1704821,1.82
11/2/2009,702246,1009251,1711497,1.44
11/3/2009,486566,486994,973560,1
11/4/2009,589509,629918,1219427,1.07
11/5/2009,513185,515451,1028636,1
11/6/2009,488765,666102,1154867,1.36
11/9/2009,407306,636109,1043415,1.56
11/10/2009,406981,441690,848671,1.09
11/11/2009,530504,545178,1075682,1.03
11/12/2009,532012,505195,1037207,0.95
11/13/2009,360530,385747,746277,1.07
11/16/2009,562098,631652,1193750,1.12
11/17/2009,416953,486784,903737,1.17
11/18/2009,528581,548420,1077001,1.04
11/19/2009,580686,690471,1271157,1.19
11/20/2009,587184,633280,1220464,1.08
11/23/2009,564861,499520,1064381,0.88
11/24/2009,284042,426220,710262,1.5
11/25/2009,422537,508401,930938,1.2
11/27/2009,478208,519205,997413,1.09
11/30/2009,472961,566831,1039792,1.2
12/1/2009,540170,609352,1149522,1.13
12/2/2009,499019,554639,1053658,1.11
12/3/2009,463421,582662,1046083,1.26
12/4/2009,923226,842815,1766041,0.91
12/7/2009,365224,446666,811890,1.22
12/8/2009,553236,649908,1203144,1.17
12/9/2009,444557,689657,1134214,1.55
12/10/2009,570408,685906,1256314,1.2
12/11/2009,395253,577377,972630,1.46
12/14/2009,430120,597882,1028002,1.39
12/15/2009,446229,570655,1016884,1.28
12/16/2009,605221,551941,1157162,0.91
12/17/2009,830368,1111344,1941712,1.34
12/18/2009,725394,1004225,1729619,1.38
12/21/2009,993088,611895,1604983,0.62
12/22/2009,1332039,474673,1806712,0.36
12/23/2009,446966,539129,986095,1.21
12/24/2009,207150,199029,406179,0.96
12/28/2009,360365,418434,778799,1.16
12/29/2009,355125,400834,755959,1.13
12/30/2009,322630,365390,688020,1.13
12/31/2009,366487,404991,771478,1.11
1/4/2010,422628,415916,838544,0.98
1/5/2010,373781,314721,688502,0.84
1/6/2010,476743,406004,882747,0.85
1/7/2010,431292,603129,1034421,1.4
1/8/2010,401602,427157,828759,1.06
1/11/2010,484816,482852,967668,1
1/12/2010,490415,533501,1023916,1.09
1/13/2010,443680,670024,1113704,1.51
1/14/2010,438739,502585,941324,1.15
1/15/2010,709781,823814,1533595,1.16
1/19/2010,423083,443139,866222,1.05
1/20/2010,449740,564219,1013959,1.25
1/21/2010,548477,800516,1348993,1.46
1/22/2010,601038,1112860,1713898,1.85
1/25/2010,468769,623167,1091936,1.33
1/26/2010,451183,553029,1004212,1.23
1/27/2010,538460,831236,1369696,1.54
1/28/2010,547285,529076,1076361,0.97
1/29/2010,459210,636828,1096038,1.39
2/1/2010,579438,568394,1147832,0.98
2/2/2010,357207,435596,792803,1.22
2/3/2010,359452,429143,788595,1.19
2/4/2010,522675,942181,1464856,1.8
2/5/2010,734402,1350278,2084680,1.84
2/8/2010,316023,483631,799654,1.53
2/9/2010,453329,748431,1201760,1.65
2/10/2010,346965,533773,880738,1.54
2/11/2010,371235,703479,1074714,1.89
2/12/2010,310571,490079,800650,1.58
2/16/2010,398569,454558,853127,1.14
2/17/2010,514623,668470,1183093,1.3
2/18/2010,663249,568442,1231691,0.86
2/19/2010,668860,809234,1478094,1.21
2/22/2010,344598,420583,765181,1.22
2/23/2010,359564,553862,913426,1.54
2/24/2010,328760,390114,718874,1.19
2/25/2010,383894,643852,1027746,1.68
2/26/2010,325364,342773,668137,1.05
3/1/2010,357672,657989,1015661,1.84
3/2/2010,453693,556057,1009750,1.23
3/3/2010,334802,371744,706546,1.11
3/4/2010,272675,423508,696183,1.55
3/5/2010,533721,588776,1122497,1.1
3/8/2010,285548,581983,867531,2.04
3/9/2010,465925,679079,1145004,1.46
3/10/2010,468733,1004353,1473086,2.14
3/11/2010,336035,770750,1106785,2.29
3/12/2010,402585,552346,954931,1.37
3/15/2010,338931,503127,842058,1.48
3/16/2010,405047,523015,928062,1.29
3/17/2010,608593,818704,1427297,1.35
3/18/2010,604728,573532,1178260,0.95
3/19/2010,445650,703845,1149495,1.58
3/22/2010,365384,645817,1011201,1.77
3/23/2010,825001,483158,1308159,0.59
3/24/2010,351092,488757,839849,1.39
3/25/2010,493314,794432,1287746,1.61
3/26/2010,328579,517892,846471,1.58
3/29/2010,294032,351809,645841,1.2
3/30/2010,251244,482842,734086,1.92
3/31/2010,358005,448952,806957,1.25
4/1/2010,430002,535471,965473,1.25
4/5/2010,368551,515441,883992,1.4
4/6/2010,426250,550318,976568,1.29
4/7/2010,502885,657199,1160084,1.31
4/8/2010,389350,613037,1002387,1.57
4/9/2010,666137,553856,1219993,0.83
4/12/2010,317108,472169,789277,1.49
4/13/2010,379475,509835,889310,1.34
4/14/2010,591753,723923,1315676,1.22
4/15/2010,500166,926185,1426351,1.85
4/16/2010,895708,1424210,2319918,1.59
4/19/2010,564182,1247734,1811916,2.21
4/20/2010,335391,578441,913832,1.72
4/21/2010,361877,674736,1036613,1.86
4/22/2010,558998,703484,1262482,1.26
4/23/2010,409767,613490,1023257,1.5
4/26/2010,325053,445892,770945,1.37
4/27/2010,620106,936065,1556171,1.51
4/28/2010,466248,658253,1124501,1.41
4/29/2010,570563,599326,1169889,1.05
4/30/2010,443232,945100,1388332,2.13
5/3/2010,362869,550533,913402,1.52
5/4/2010,805440,1283212,2088652,1.59
5/5/2010,670130,1455258,2125388,2.17
5/6/2010,1380369,2041793,3422162,1.48
5/7/2010,1225424,2146467,3371891,1.75
5/10/2010,764377,1214130,1978507,1.59
5/11/2010,598888,914303,1513191,1.53
5/12/2010,598452,795678,1394130,1.33
5/13/2010,574421,820859,1395280,1.43
5/14/2010,864240,1681047,2545287,1.95
5/17/2010,672374,969521,1641895,1.44
5/18/2010,651442,1041277,1692719,1.6
5/19/2010,805343,1455674,2261017,1.81
5/20/2010,1025904,2502328,3528232,2.44
5/21/2010,1096978,1991401,3088379,1.82
5/24/2010,501412,717175,1218587,1.43
5/25/2010,680341,1185032,1865373,1.74
5/26/2010,480973,1008111,1489084,2.1
5/27/2010,449127,963053,1412180,2.14
5/28/2010,400537,1043863,1444400,2.61
6/1/2010,363637,585105,948742,1.61
6/2/2010,347784,632960,980744,1.82
6/3/2010,440147,852714,1292861,1.94
6/4/2010,498036,855532,1353568,1.72
6/7/2010,537369,926041,1463410,1.72
6/8/2010,576202,1032557,1608759,1.79
6/9/2010,450685,652048,1102733,1.45
6/10/2010,517510,774934,1292444,1.5
6/11/2010,361458,689545,1051003,1.91
6/14/2010,575796,603035,1178831,1.05
6/15/2010,573071,687836,1260907,1.2
6/16/2010,482708,587297,1070005,1.22
6/17/2010,609146,763835,1372981,1.25
6/18/2010,559841,608088,1167929,1.09
6/21/2010,487817,609344,1097161,1.25
6/22/2010,377089,726416,1103505,1.93
6/23/2010,364018,682865,1046883,1.88
6/24/2010,345323,1118147,1463470,3.24
6/25/2010,359542,419571,779113,1.17
6/28/2010,296167,302096,598263,1.02
6/29/2010,626478,1008625,1635103,1.61
6/30/2010,354803,814694,1169497,2.3
7/1/2010,634177,1345848,1980025,2.12
7/2/2010,387342,497599,884941,1.28
7/6/2010,400105,901433,1301538,2.25
7/7/2010,353489,666512,1020001,1.89
7/8/2010,355408,450800,806208,1.27
7/9/2010,352529,484548,837077,1.37
7/12/2010,244174,379609,623783,1.55
7/13/2010,407898,606503,1014401,1.49
7/14/2010,374705,770804,1145509,2.06
7/15/2010,362873,681841,1044714,1.88
7/16/2010,512217,929092,1441309,1.81
7/19/2010,323595,397141,720736,1.23
7/20/2010,458128,548943,1007071,1.2
7/21/2010,258895,444170,703065,1.72
7/22/2010,418598,597659,1016257,1.43
7/23/2010,271122,459624,730746,1.7
7/26/2010,346697,703949,1050646,2.03
7/27/2010,276930,419459,696389,1.51
7/28/2010,251526,379487,631013,1.51
7/29/2010,333980,596647,930627,1.79
7/30/2010,283771,342736,626507,1.21
8/2/2010,330990,409293,740283,1.24
8/3/2010,197465,380363,577828,1.93
8/4/2010,249005,313809,562814,1.26
8/5/2010,229422,373689,603111,1.63
8/6/2010,385425,573721,959146,1.49
8/9/2010,206855,265438,472293,1.28
8/10/2010,306464,421224,727688,1.37
8/11/2010,468262,757854,1226116,1.62
8/12/2010,409998,630775,1040773,1.54
8/13/2010,304242,439087,743329,1.44
8/16/2010,309314,371551,680865,1.2
8/17/2010,335006,411685,746691,1.23
8/18/2010,306489,778474,1084963,2.54
8/19/2010,462986,686855,1149841,1.48
8/20/2010,503474,743645,1247119,1.48
8/23/2010,317964,502868,820832,1.58
8/24/2010,368531,617330,985861,1.68
8/25/2010,448254,694206,1142460,1.55
8/26/2010,355200,549272,904472,1.55
8/27/2010,433042,536652,969694,1.24
8/30/2010,224122,321160,545282,1.43
8/31/2010,366762,327976,694738,0.89
9/1/2010,413631,481921,895552,1.17
9/2/2010,288718,437465,726183,1.52
9/3/2010,539405,545516,1084921,1.01
9/7/2010,241358,806520,1047878,3.34
9/8/2010,339473,532232,871705,1.57
9/9/2010,286499,423512,710011,1.48
9/10/2010,247293,712871,960164,2.88
9/13/2010,364922,502151,867073,1.38
9/14/2010,415166,437940,853106,1.05
9/15/2010,464534,746275,1210809,1.61
9/16/2010,544896,742197,1287093,1.36
9/17/2010,461298,748665,1209963,1.62
9/20/2010,434593,558462,993055,1.29
9/21/2010,384524,502421,886945,1.31
9/22/2010,280596,404226,684822,1.44
9/23/2010,329712,564656,894368,1.71
9/24/2010,357167,571429,928596,1.6
9/27/2010,223865,288559,512424,1.29
9/28/2010,305092,428237,733329,1.4
9/29/2010,370007,390477,760484,1.06
9/30/2010,493687,662793,1156480,1.34
10/1/2010,608342,591234,1199576,0.97
10/4/2010,279982,410539,690521,1.47
10/5/2010,522702,628308,1151010,1.2
10/6/2010,464527,530732,995259,1.14
10/7/2010,415091,874675,1289766,2.11
10/8/2010,433301,586038,1019339,1.35
10/11/2010,281022,373199,654221,1.33
10/12/2010,352248,856712,1208960,2.43
10/13/2010,604623,846520,1451143,1.4
10/14/2010,539566,643887,1183453,1.19
10/15/2010,972989,834461,1807450,0.86
10/18/2010,318642,646792,965434,2.03
10/19/2010,488026,642128,1130154,1.32
10/20/2010,367524,589545,957069,1.6
10/21/2010,383733,644162,1027895,1.68
10/22/2010,245991,340596,586587,1.38
10/25/2010,326241,402341,728582,1.23
10/26/2010,322921,388460,711381,1.2
10/27/2010,323975,399429,723404,1.23
10/28/2010,317594,491765,809359,1.55
10/29/2010,385447,487538,872985,1.26
11/1/2010,380738,458619,839357,1.2
11/2/2010,393696,512325,906021,1.3
11/3/2010,499218,708638,1207856,1.42
11/4/2010,907146,937533,1844679,1.03
11/5/2010,572061,715938,1287999,1.25
11/8/2010,390432,425785,816217,1.09
11/9/2010,635070,775535,1410605,1.22
11/10/2010,502955,547522,1050477,1.09
11/11/2010,372233,501767,874000,1.35
11/12/2010,476249,938332,1414581,1.97
11/15/2010,313257,471448,784705,1.5
11/16/2010,737363,872564,1609927,1.18
11/17/2010,406061,496809,902870,1.22
11/18/2010,474628,724300,1198928,1.53
11/19/2010,554799,591716,1146515,1.07
11/22/2010,332734,442262,774996,1.33
11/23/2010,388119,459239,847358,1.18
11/24/2010,298828,802790,1101618,2.69
11/26/2010,172613,264609,437222,1.53
11/29/2010,309615,441147,750762,1.42
11/30/2010,344378,442803,787181,1.29
12/1/2010,371009,593538,964547,1.6
12/2/2010,433398,517169,950567,1.19
12/3/2010,385131,434097,819228,1.13
12/6/2010,293330,357913,651243,1.22
12/7/2010,406016,660414,1066430,1.63
12/8/2010,321128,383729,704857,1.19
12/9/2010,321209,437985,759194,1.36
12/10/2010,362560,522660,885220,1.44
12/13/2010,385824,405968,791792,1.05
12/14/2010,375167,888415,1263582,2.37
12/15/2010,365098,408811,773909,1.12
12/16/2010,453458,1109137,1562595,2.45
12/17/2010,462224,629949,1092173,1.36
12/20/2010,502700,436158,938858,0.87
12/21/2010,302777,382953,685730,1.26
12/22/2010,331739,414111,745850,1.25
12/23/2010,208162,419812,627974,2.02
12/27/2010,213144,272075,485219,1.28
12/28/2010,196786,269412,466198,1.37
12/29/2010,218785,223675,442460,1.02
12/30/2010,440885,294230,735115,0.67
12/31/2010,265774,404219,669993,1.52
1/3/2011,410481,557887,968368,1.36
1/4/2011,451421,532859,984280,1.18
1/5/2011,373605,494074,867679,1.32
1/6/2011,335986,747995,1083981,2.23
1/7/2011,427272,929227,1356499,2.17
1/10/2011,306832,470849,777681,1.53
1/11/2011,280385,507576,787961,1.81
1/12/2011,486050,915291,1401341,1.88
1/13/2011,364580,576073,940653,1.58
1/14/2011,474554,617519,1092073,1.3
1/18/2011,345726,771211,1116937,2.23
1/19/2011,520510,767934,1288444,1.48
1/20/2011,638723,895134,1533857,1.4
1/21/2011,584207,867729,1451936,1.49
1/24/2011,350786,465272,816058,1.33
1/25/2011,335838,659296,995134,1.96
1/26/2011,301929,687216,989145,2.28
1/27/2011,296395,656352,952747,2.21
1/28/2011,611681,1147055,1758736,1.88
1/31/2011,400750,639520,1040270,1.6
2/1/2011,566836,972497,1539333,1.72
2/2/2011,314236,558479,872715,1.78
2/3/2011,398032,607201,1005233,1.53
2/4/2011,426646,627112,1053758,1.47
2/7/2011,392675,673378,1066053,1.71
2/8/2011,362419,563502,925921,1.55
2/9/2011,431877,710646,1142523,1.65
2/10/2011,339446,658068,997514,1.94
2/11/2011,472059,707358,1179417,1.5
2/14/2011,299409,519317,818726,1.73
2/15/2011,345402,714784,1060186,2.07
2/16/2011,529267,746178,1275445,1.41
2/17/2011,468563,562576,1031139,1.2
2/18/2011,632581,1008841,1641422,1.59
2/22/2011,597614,836160,1433774,1.4
2/23/2011,722153,1091473,1813626,1.51
2/24/2011,580757,785943,1366700,1.35
2/25/2011,411071,555040,966111,1.35
2/28/2011,412998,427812,840810,1.04
3/1/2011,426637,609598,1036235,1.43
3/2/2011,368837,518285,887122,1.41
3/3/2011,408970,583188,992158,1.43
3/4/2011,501578,611624,1113202,1.22
3/7/2011,468237,767932,1236169,1.64
3/8/2011,383620,537391,921011,1.4
3/9/2011,508571,467568,976139,0.92
3/10/2011,658666,1254459,1913125,1.9
3/11/2011,580651,881347,1461998,1.52
3/14/2011,385763,608256,994019,1.58
3/15/2011,896801,1713752,2610553,1.91
3/16/2011,913462,1587515,2500977,1.74
3/17/2011,568355,1009728,1578083,1.78
3/18/2011,727408,1078157,1805565,1.48
3/21/2011,444346,556281,1000627,1.25
3/22/2011,320312,497873,818185,1.55
3/23/2011,397896,595403,993299,1.5
3/24/2011,409683,625938,1035621,1.53
3/25/2011,685169,765407,1450576,1.12
3/28/2011,332205,431695,763900,1.3
3/29/2011,384813,358956,743769,0.93
3/30/2011,498385,574289,1072674,1.15
3/31/2011,420021,525047,945068,1.25
4/1/2011,462852,681526,1144378,1.47
4/4/2011,237985,620777,858762,2.61
4/5/2011,360278,500676,860954,1.39
4/6/2011,391061,421148,812209,1.08
4/7/2011,449530,716423,1165953,1.59
4/8/2011,560448,801951,1362399,1.43
4/11/2011,403689,698721,1102410,1.73
4/12/2011,507470,1259786,1767256,2.48
4/13/2011,372011,708321,1080332,1.9
4/14/2011,522753,838605,1361358,1.6
4/15/2011,803537,939825,1743362,1.17
4/18/2011,539608,739830,1279438,1.37
4/19/2011,301597,556706,858303,1.85
4/20/2011,581085,961759,1542844,1.66
4/21/2011,517857,729211,1247068,1.41
4/25/2011,357568,424167,781735,1.19
4/26/2011,499079,779364,1278443,1.56
4/27/2011,503578,661462,1165040,1.31
4/28/2011,579388,803067,1382455,1.39
4/29/2011,554713,754676,1309389,1.36
5/2/2011,431017,662724,1093741,1.54
5/3/2011,519531,762057,1281588,1.47
5/4/2011,581806,833268,1415074,1.43
5/5/2011,855900,1167759,2023659,1.36
5/6/2011,677792,982998,1660790,1.45
5/9/2011,356478,436924,793402,1.23
5/10/2011,354907,415963,770870,1.17
5/11/2011,488310,656295,1144605,1.34
5/12/2011,578992,688923,1267915,1.19
5/13/2011,459174,647608,1106782,1.41
5/16/2011,316649,601516,918165,1.9
5/17/2011,470600,999265,1469865,2.12
5/18/2011,427319,712349,1139668,1.67
5/19/2011,421249,545586,966835,1.3
5/20/2011,581488,910142,1491630,1.57
5/23/2011,489820,655456,1145276,1.34
5/24/2011,384459,435418,819877,1.13
5/25/2011,331204,435046,766250,1.31
5/26/2011,405385,493925,899310,1.22
5/27/2011,430417,519887,950304,1.21
5/31/2011,401741,593409,995150,1.48
6/1/2011,530375,771631,1302006,1.45
6/2/2011,565388,883043,1448431,1.56
6/3/2011,524347,785413,1309760,1.5
6/6/2011,424286,790309,1214595,1.86
6/7/2011,358141,591345,949486,1.65
6/8/2011,456327,874166,1330493,1.92
6/9/2011,349528,609478,959006,1.74
6/10/2011,600417,958151,1558568,1.6
6/13/2011,392527,770922,1163449,1.96
6/14/2011,438664,681637,1120301,1.55
6/15/2011,645173,1135907,1781080,1.76
6/16/2011,746748,1207254,1954002,1.62
6/17/2011,666467,1040858,1707325,1.56
6/20/2011,356261,549522,905783,1.54
6/21/2011,515228,811473,1326701,1.57
6/22/2011,373447,518199,891646,1.39
6/23/2011,796571,1089288,1885859,1.37
6/24/2011,475064,622117,1097181,1.31
6/27/2011,351840,552035,903875,1.57
6/28/2011,469798,663709,1133507,1.41
6/29/2011,450670,917157,1367827,2.04
6/30/2011,563910,869807,1433717,1.54
7/1/2011,674360,710981,1385341,1.05
7/5/2011,316943,590661,907604,1.86
7/6/2011,295315,490948,786263,1.66
7/7/2011,622748,734414,1357162,1.18
7/8/2011,385486,730464,1115950,1.89
7/11/2011,513835,856965,1370800,1.67
7/12/2011,414680,745248,1159928,1.8
7/13/2011,492155,657546,1149701,1.34
7/14/2011,582497,909612,1492109,1.56
7/15/2011,735808,1196450,1932258,1.63
7/18/2011,450784,651392,1102176,1.45
7/19/2011,484542,552318,1036860,1.14
7/20/2011,317184,488850,806034,1.54
7/21/2011,478093,743264,1221357,1.55
7/22/2011,333032,558364,891396,1.68
7/25/2011,270042,530515,800557,1.96
7/26/2011,263734,408821,672555,1.55
7/27/2011,683780,1213361,1897141,1.77
7/28/2011,618725,702995,1321720,1.14
7/29/2011,735627,1222394,1958021,1.66
8/1/2011,607503,977641,1585144,1.61
8/2/2011,765680,1390091,2155771,1.82
8/3/2011,831109,1758821,2589930,2.12
8/4/2011,1396516,2567359,3963875,1.84
8/5/2011,1455999,2271046,3727045,1.56
8/8/2011,1509835,2536420,4046255,1.68
8/9/2011,1043892,2182580,3226472,2.09
8/10/2011,1053940,1623966,2677906,1.54
8/11/2011,939632,1289840,2229472,1.37
8/12/2011,655734,886884,1542618,1.35
8/15/2011,688148,902149,1590297,1.31
8/16/2011,449120,840753,1289873,1.87
8/17/2011,531481,996677,1528158,1.88
8/18/2011,809320,1923616,2732936,2.38
8/19/2011,785370,1556591,2341961,1.98
8/22/2011,509937,759356,1269293,1.49
8/23/2011,540229,896532,1436761,1.66
8/24/2011,463634,861604,1325238,1.86
8/25/2011,584043,1094747,1678790,1.87
8/26/2011,711847,1035154,1747001,1.45
8/29/2011,504357,629166,1133523,1.25
8/30/2011,449875,757458,1207333,1.68
8/31/2011,539911,1225963,1765874,2.27
9/1/2011,426076,650139,1076215,1.53
9/2/2011,579536,1183568,1763104,2.04
9/6/2011,630688,1056615,1687303,1.68
9/7/2011,582751,625875,1208626,1.07
9/8/2011,410303,758496,1168799,1.85
9/9/2011,773560,1419002,2192562,1.83
9/12/2011,556135,1038745,1594880,1.87
9/13/2011,490138,939293,1429431,1.92
9/14/2011,728537,1025164,1753701,1.41
9/15/2011,771589,969468,1741057,1.26
9/16/2011,912502,1292493,2204995,1.42
9/19/2011,493614,781098,1274712,1.58
9/20/2011,494504,941386,1435890,1.9
9/21/2011,553010,840466,1393476,1.52
9/22/2011,1147334,1826644,2973978,1.59
9/23/2011,837184,1248701,2085885,1.49
9/26/2011,575655,688582,1264237,1.2
9/27/2011,607504,1011993,1619497,1.67
9/28/2011,456299,867674,1323973,1.9
9/29/2011,603572,824671,1428243,1.37
9/30/2011,624523,1196181,1820704,1.92
10/3/2011,689822,1130623,1820445,1.64
10/4/2011,1004160,1513066,2517226,1.51
10/5/2011,692425,940060,1632485,1.36
10/6/2011,583559,1125427,1708986,1.93
10/7/2011,708120,1075709,1783829,1.52
10/10/2011,450205,1105640,1555845,2.46
10/11/2011,326855,607990,934845,1.86
10/12/2011,586218,1122989,1709207,1.92
10/13/2011,416779,654120,1070899,1.57
10/14/2011,544139,794156,1338295,1.46
10/17/2011,419269,758531,1177800,1.81
10/18/2011,620575,937359,1557934,1.51
10/19/2011,455562,670211,1125773,1.47
10/20/2011,627861,1459859,2087720,2.33
10/21/2011,894443,973351,1867794,1.09
10/24/2011,498283,626408,1124691,1.26
10/25/2011,598404,695576,1293980,1.16
10/26/2011,445753,603828,1049581,1.35
10/27/2011,947194,1213272,2160466,1.28
10/28/2011,427917,649020,1076937,1.52
10/31/2011,351813,606006,957819,1.72
11/1/2011,735951,1282041,2017992,1.74
11/2/2011,391685,657417,1049102,1.68
11/3/2011,467875,811541,1279416,1.73
11/4/2011,359217,714940,1074157,1.99
11/7/2011,384552,482626,867178,1.26
11/8/2011,422023,967922,1389945,2.29
11/9/2011,575717,1090081,1665798,1.89
11/10/2011,376986,642266,1019252,1.7
11/11/2011,452606,627239,1079845,1.39
11/14/2011,236014,459713,695727,1.95
11/15/2011,347559,704323,1051882,2.03
11/16/2011,424668,747369,1172037,1.76
11/17/2011,712147,1216659,1928806,1.71
11/18/2011,512515,738471,1250986,1.44
11/21/2011,430593,707838,1138431,1.64
11/22/2011,388752,578301,967053,1.49
11/23/2011,500837,871535,1372372,1.74
11/25/2011,238866,428120,666986,1.79
11/28/2011,457095,431932,889027,0.94
11/29/2011,371815,458478,830293,1.23
11/30/2011,730542,816231,1546773,1.12
12/1/2011,480067,515253,995320,1.07
12/2/2011,553631,792203,1345834,1.43
12/5/2011,386270,507235,893505,1.31
12/6/2011,367445,455225,822670,1.24
12/7/2011,429487,473880,903367,1.1
12/8/2011,465076,540360,1005436,1.16
12/9/2011,606408,892749,1499157,1.47
12/12/2011,507090,938473,1445563,1.85
12/13/2011,489288,672651,1161939,1.37
12/14/2011,692228,905505,1597733,1.31
12/15/2011,492772,611528,1104300,1.24
12/16/2011,592268,906578,1498846,1.53
12/19/2011,363185,502339,865524,1.38
12/20/2011,433148,496981,930129,1.15
12/21/2011,335665,423564,759229,1.26
12/22/2011,391739,417821,809560,1.07
12/23/2011,286083,278241,564324,0.97
12/27/2011,216741,352439,569180,1.63
12/28/2011,255552,342904,598456,1.34
12/29/2011,365692,453211,818903,1.24
12/30/2011,338449,395909,734358,1.17
1/3/2012,365437,421866,787303,1.15
1/4/2012,286960,355048,642008,1.24
1/5/2012,349215,421367,770582,1.21
1/6/2012,436712,534182,970894,1.22
1/9/2012,288836,387861,676697,1.34
