CBOE Volume and Put/Call Ratio data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action.  As of June 11 2012 Equity Volume includes only the volume of equity option products and excludes that of exchange-traded products.  Historical index volume from November 1 2006 through May 31 2012 is based on cleared volume as reported by the OCC. The volume data reflected after May 31 2012 below is based upon preliminary reported volume rather than cleared volume. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CBOE Volume and Put/Call Ratio data is subject to the Terms and Conditions of CBOE's Websites.,,,,
, PRODUCT: EQUITY,,EXCHANGE: CBOE,
DATE,CALL,PUT,TOTAL,P/C Ratio
07/05/2012, 939451, 596873, 1536324, 0.64
07/06/2012, 870414, 654253, 1524667, 0.75
07/09/2012, 793251, 619511, 1412762, 0.78
07/10/2012, 955299, 689698, 1644997, 0.72
07/11/2012, 804717, 652494, 1457211, 0.81
07/12/2012, 994736, 695851, 1690587, 0.70
07/13/2012, 1012954, 644297, 1657251, 0.64
07/16/2012, 962910, 648633, 1611543, 0.67
07/17/2012, 1163410, 777665, 1941075, 0.67
07/18/2012, 1284734, 845452, 2130186, 0.66
07/19/2012, 1349600, 911648, 2261248, 0.68
07/20/2012, 1412563, 1056637, 2469200, 0.75
07/23/2012, 1089472, 757243, 1846715, 0.70
07/24/2012, 1183971, 778248, 1962219, 0.66
07/25/2012, 1248444, 890858, 2139302, 0.71
07/26/2012, 1322521, 943021, 2265542, 0.71
07/27/2012, 1513727, 962862, 2476589, 0.64
07/30/2012, 1090413, 721632, 1812045, 0.66
07/31/2012, 1072316, 729447, 1801763, 0.68
08/01/2012, 1103009, 790398, 1893407, 0.72
08/02/2012, 1171459, 908202, 2079661, 0.78
08/03/2012, 1308579, 789668, 2098247, 0.60
08/06/2012, 1054662, 662855, 1717517, 0.63
08/07/2012, 1377682, 763644, 2141326, 0.55
08/08/2012, 1066535, 616166, 1682701, 0.58
08/09/2012, 953953, 593172, 1547125, 0.62
08/10/2012, 855382, 598031, 1453413, 0.70
08/13/2012, 960123, 541205, 1501328, 0.56
08/14/2012, 1033272, 685425, 1718697, 0.66
08/15/2012, 1011641, 631330, 1642971, 0.62
08/16/2012, 1353451, 932643, 2286094, 0.69
08/17/2012, 1611423, 871562, 2482985, 0.54
08/20/2012, 1135316, 699997, 1835313, 0.62
08/21/2012, 1252580, 835419, 2087999, 0.67
08/22/2012, 1061568, 694804, 1756372, 0.65
08/23/2012, 1027823, 757025, 1784848, 0.74
08/24/2012, 947821, 642167, 1589988, 0.68
08/27/2012, 741217, 513558, 1254775, 0.69
08/28/2012, 726734, 446178, 1172912, 0.61
08/29/2012, 758514, 599982, 1358496, 0.79
08/30/2012, 787658, 658862, 1446520, 0.84
08/31/2012, 807309, 544439, 1351748, 0.67
09/04/2012, 840133, 627401, 1467534, 0.75
09/05/2012, 835341, 558847, 1394188, 0.67
09/06/2012, 1350646, 791247, 2141893, 0.59
09/07/2012, 1463200, 791467, 2254667, 0.54
09/10/2012, 1101677, 722331, 1824008, 0.66
09/11/2012, 1129634, 608112, 1737746, 0.54
09/12/2012, 1184537, 674570, 1859107, 0.57
09/13/2012, 1629619, 884695, 2514314, 0.54
09/14/2012, 2025732, 1078273, 3104005, 0.53
09/17/2012, 949777, 611552, 1561329, 0.64
09/18/2012, 1001884, 625060, 1626944, 0.62
09/19/2012, 1215430, 682607, 1898037, 0.56
09/20/2012, 1156018, 871254, 2027272, 0.75
09/21/2012, 1553487, 956290, 2509777, 0.62
09/24/2012, 1223172, 749700, 1972872, 0.61
09/25/2012, 1078242, 789107, 1867349, 0.73
09/26/2012, 943357, 703207, 1646564, 0.75
09/27/2012, 1059544, 637905, 1697449, 0.60
09/28/2012, 993166, 757842, 1751008, 0.76
10/01/2012, 806973, 506209, 1313182, 0.63
10/02/2012, 989995, 545697, 1535692, 0.55
10/03/2012, 807465, 576247, 1383712, 0.71
10/04/2012, 997738, 580395, 1578133, 0.58
10/05/2012, 1046389, 705326, 1751715, 0.67
10/08/2012, 793422, 436801, 1230223, 0.55
10/09/2012, 877529, 639567, 1517096, 0.73
10/10/2012, 762456, 538309, 1300765, 0.71
10/11/2012, 997304, 648899, 1646203, 0.65
10/12/2012, 849072, 627047, 1476119, 0.74
10/15/2012, 859239, 628977, 1488216, 0.73
10/16/2012, 1112158, 681129, 1793287, 0.61
10/17/2012, 1225922, 725446, 1951368, 0.59
10/18/2012, 1284758, 837975, 2122733, 0.65
10/19/2012, 1251216, 998182, 2249398, 0.80
10/22/2012, 909315, 605866, 1515181, 0.67
10/23/2012, 897750, 768080, 1665830, 0.86
10/24/2012, 872969, 615655, 1488624, 0.71
10/25/2012, 843478, 639276, 1482754, 0.76
10/26/2012, 945281, 725184, 1670465, 0.77
10/31/2012, 857370, 580275, 1437645, 0.68
11/01/2012, 975938, 586027, 1561965, 0.60
11/02/2012, 994468, 763534, 1758002, 0.77
11/05/2012, 758930, 463390, 1222320, 0.61
11/06/2012, 817015, 517545, 1334560, 0.63
11/07/2012, 966873, 733987, 1700860, 0.76
11/08/2012, 936286, 745666, 1681952, 0.80
11/09/2012, 911319, 744389, 1655708, 0.82
11/12/2012, 775681, 503247, 1278928, 0.65
11/13/2012, 893310, 640897, 1534207, 0.72
11/14/2012, 919321, 719246, 1638567, 0.78
11/15/2012, 909228, 757323, 1666551, 0.83
11/16/2012, 1160477, 943313, 2103790, 0.81
11/19/2012, 1035614, 576154, 1611768, 0.56
11/20/2012, 761575, 513648, 1275223, 0.67
11/21/2012, 699929, 426322, 1126251, 0.61
11/23/2012, 497512, 291635, 789147, 0.59
11/26/2012, 738138, 469508, 1207646, 0.64
11/27/2012, 768798, 444521, 1213319, 0.58
11/28/2012, 888643, 536283, 1424926, 0.60
11/29/2012, 866352, 538160, 1404512, 0.62
11/30/2012, 745740, 542291, 1288031, 0.73
12/03/2012, 674368, 382053, 1056421, 0.57
12/04/2012, 737881, 595184, 1333065, 0.81
12/05/2012, 1154784, 692004, 1846788, 0.60
12/06/2012, 875270, 589825, 1465095, 0.67
12/07/2012, 963736, 618237, 1581973, 0.64
12/10/2012, 631082, 393857, 1024939, 0.62
12/11/2012, 804092, 476050, 1280142, 0.59
12/12/2012, 849253, 519336, 1368589, 0.61
12/13/2012, 824832, 503724, 1328556, 0.61
12/14/2012, 804531, 562311, 1366842, 0.70
12/17/2012, 813761, 486331, 1300092, 0.60
12/18/2012, 1140797, 578498, 1719295, 0.51
12/19/2012, 892004, 568462, 1460466, 0.64
12/20/2012, 879313, 566642, 1445955, 0.64
12/21/2012, 1025621, 731804, 1757425, 0.71
12/24/2012, 370957, 239914, 610871, 0.65
12/26/2012, 590139, 436280, 1026419, 0.74
12/27/2012, 704225, 480578, 1184803, 0.68
12/28/2012, 672136, 429236, 1101372, 0.64
12/31/2012, 777569, 485969, 1263538, 0.62
01/02/2013, 1031381, 567180, 1598561, 0.55
01/03/2013, 1023718, 542126, 1565844, 0.53
01/04/2013, 929392, 596575, 1525967, 0.64
01/07/2013, 690162, 469158, 1159320, 0.68
01/08/2013, 693048, 543080, 1236128, 0.78
01/09/2013, 847872, 520752, 1368624, 0.61
01/10/2013, 937748, 621614, 1559362, 0.66
01/11/2013, 863049, 545871, 1408920, 0.63
01/14/2013, 939954, 486423, 1426377, 0.52
01/15/2013, 868787, 582208, 1450995, 0.67
01/16/2013, 890353, 670859, 1561212, 0.75
01/17/2013, 1007254, 611928, 1619182, 0.61
01/18/2013, 1187424, 637024, 1824448, 0.54
01/22/2013, 929497, 635146, 1564643, 0.68
01/23/2013, 816558, 566364, 1382922, 0.69
01/24/2013, 1108726, 720079, 1828805, 0.65
01/25/2013, 995873, 637911, 1633784, 0.64
01/28/2013, 852221, 644295, 1496516, 0.76
01/29/2013, 856151, 581147, 1437298, 0.68
01/30/2013, 825206, 555135, 1380341, 0.67
01/31/2013, 785568, 571152, 1356720, 0.73
02/01/2013, 1020229, 586459, 1606688, 0.57
02/04/2013, 765396, 531545, 1296941, 0.69
02/05/2013, 943144, 558877, 1502021, 0.59
02/06/2013, 888166, 529401, 1417567, 0.60
02/07/2013, 806486, 534829, 1341315, 0.66
02/08/2013, 924613, 524905, 1449518, 0.57
02/11/2013, 824905, 465420, 1290325, 0.56
