CBOE Volume and Put/Call Ratio data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action.  As of June 11 2012 Equity Volume includes only the volume of equity option products and excludes that of exchange-traded products.  Historical index volume from November 1 2006 through May 31 2012 is based on cleared volume as reported by the OCC. The volume data reflected after May 31 2012 below is based upon preliminary reported volume rather than cleared volume. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CBOE Volume and Put/Call Ratio data is subject to the Terms and Conditions of CBOE's Websites.,,,,
, PRODUCT: EQUITY,,EXCHANGE: CBOE,
DATE,CALL,PUT,TOTAL,P/C Ratio
04/02/2014, 1034225, 532460, 1566685, 0.51
04/03/2014, 1036264, 616291, 1652555, 0.59
04/04/2014, 1353316, 881123, 2234439, 0.65
04/07/2014, 1191687, 735204, 1926891, 0.62
04/08/2014, 992829, 558607, 1551436, 0.56
04/09/2014, 1215530, 551511, 1767041, 0.45
04/10/2014, 1030621, 720460, 1751081, 0.70
04/11/2014, 1085976, 814735, 1900711, 0.75
04/14/2014, 930636, 569535, 1500171, 0.61
04/15/2014, 1193003, 703254, 1896257, 0.59
04/16/2014, 1219255, 651101, 1870356, 0.53
04/17/2014, 1461005, 838080, 2299085, 0.57
04/21/2014, 1068453, 502807, 1571260, 0.47
04/22/2014, 1089786, 520429, 1610215, 0.48
04/23/2014, 1052651, 728528, 1781179, 0.69
04/24/2014, 1258327, 767066, 2025393, 0.61
04/25/2014, 1205943, 861370, 2067313, 0.71
04/28/2014, 1258431, 865253, 2123684, 0.69
04/29/2014, 1090565, 666455, 1757020, 0.61
04/30/2014, 1125769, 608590, 1734359, 0.54
05/01/2014, 1192726, 668824, 1861550, 0.56
05/02/2014, 955063, 621648, 1576711, 0.65
05/05/2014, 781443, 508622, 1290065, 0.65
05/06/2014, 1049527, 713728, 1763255, 0.68
05/07/2014, 1183947, 798214, 1982161, 0.67
05/08/2014, 1095234, 718012, 1813246, 0.66
05/09/2014, 981880, 710647, 1692527, 0.72
05/12/2014, 1045035, 552397, 1597432, 0.53
