mcross,1min,0,3.8993,slopenormal,PCompareNormal,FDAX,3.8993
Stoch_CROSS,1min,0,12.1177,slopenormal,PCompareNormal,FDAX,12.1177
mcd,1min,0,2.0673,slopenormal,PCompareNormal,FDAX,2.0673
RVI_CROSS,1min,0,0.076,slopenormal,PCompareNormal,FDAX,0.076
StochD,1min,0,24.5212,slopenormal,PCompareNormal,FDAX,24.5212
StochK,1min,0,30.0138,slopenormal,PCompareNormal,FDAX,30.0138
RVIsignal,1min,0,0.1461,slopenormal,PCompareNormal,FDAX,0.1461
RVIline,1min,0,0.1085,slopenormal,PCompareNormal,FDAX,0.1085
ATR,1min,0,1.1508,slopenormal,PCompareNormal,FDAX,1.1508
diffvES,1min,0,0.0009,slopenormal,PCompareNormal,FDAX,0.0009
kupper,1min,0,9.2526,slopenormal,PCompareNormal,FDAX,9.2526
klower,1min,0,10.5453,slopenormal,PCompareNormal,FDAX,10.5453
kmid,1min,0,9.8254,slopenormal,PCompareNormal,FDAX,9.8254
bbandupper,1min,0,4.9603,slopenormal,PCompareNormal,FDAX,4.9603
bbandlower,1min,0,12.8651,slopenormal,PCompareNormal,FDAX,12.8651
stddev,1min,0,1.7813,slopenormal,PCompareNormal,FDAX,1.7813
pivot,1min,0,14.0101,slopenormal,PCompareNormal,FDAX,14.0101
R,1min,0,13.9004,slopenormal,PCompareNormal,FDAX,13.9004
S,1min,0,14.4364,slopenormal,PCompareNormal,FDAX,14.4364
S2,1min,0,15.1372,slopenormal,PCompareNormal,FDAX,15.1372
R2,1min,0,14.3077,slopenormal,PCompareNormal,FDAX,14.3077
sma200,1min,0,5.2477,slopenormal,PCompareNormal,FDAX,5.2477
sma100,1min,0,0.9538,slopenormal,PCompareNormal,FDAX,0.9538
sma50,1min,0,4.5884,slopenormal,PCompareNormal,FDAX,4.5884
ema,1min,0,7.8512,slopenormal,PCompareNormal,FDAX,7.8512
ROC,3mins,0,0.1604,slopenormal,PCompareNormal,FDAX,0.1604
RVIsignal,3mins,0,0.1179,slopenormal,PCompareNormal,FDAX,0.1179
RVI_CROSS,3mins,0,0.0691,slopenormal,PCompareNormal,FDAX,0.0691
RVIline,3mins,0,0.0779,slopenormal,PCompareNormal,FDAX,0.0779
AO,3mins,0,14.5307,slopenormal,PCompareNormal,FDAX,14.5307
AOAcc,3mins,0,3.6079,slopenormal,PCompareNormal,FDAX,3.6079
RSI,3mins,0,7.5801,slopenormal,PCompareNormal,FDAX,7.5801
mcross,3mins,0,4.4729,slopenormal,PCompareNormal,FDAX,4.4729
Stoch_CROSS,3mins,0,12.1367,slopenormal,PCompareNormal,FDAX,12.1367
mcd,3mins,0,1.6693,slopenormal,PCompareNormal,FDAX,1.6693
RVI_CROSS,3mins,0,0.0691,slopenormal,PCompareNormal,FDAX,0.0691
StochD,3mins,0,18.9869,slopenormal,PCompareNormal,FDAX,18.9869
StochK,3mins,0,25.0919,slopenormal,PCompareNormal,FDAX,25.0919
RVIsignal,3mins,0,0.1179,slopenormal,PCompareNormal,FDAX,0.1179
RVIline,3mins,0,0.0779,slopenormal,PCompareNormal,FDAX,0.0779
ATR,3mins,0,2.4068,slopenormal,PCompareNormal,FDAX,2.4068
diffvES,3mins,0,0.0008,slopenormal,PCompareNormal,FDAX,0.0008
kupper,3mins,0,5.1137,slopenormal,PCompareNormal,FDAX,5.1137
klower,3mins,0,7.6677,slopenormal,PCompareNormal,FDAX,7.6677
kmid,3mins,0,5.3265,slopenormal,PCompareNormal,FDAX,5.3265
bbandupper,3mins,0,7.58,slopenormal,PCompareNormal,FDAX,7.58
bbandlower,3mins,0,3.6668,slopenormal,PCompareNormal,FDAX,3.6668
stddev,3mins,0,5.8787,slopenormal,PCompareNormal,FDAX,5.8787
pivot,3mins,0,10.5301,slopenormal,PCompareNormal,FDAX,10.5301
R,3mins,0,10.4827,slopenormal,PCompareNormal,FDAX,10.4827
S,3mins,0,12.5244,slopenormal,PCompareNormal,FDAX,12.5244
S2,3mins,0,14.5356,slopenormal,PCompareNormal,FDAX,14.5356
R2,3mins,0,11.0942,slopenormal,PCompareNormal,FDAX,11.0942
sma200,3mins,0,5.9171,slopenormal,PCompareNormal,FDAX,5.9171
sma100,3mins,0,11.1525,slopenormal,PCompareNormal,FDAX,11.1525
sma50,3mins,0,13.9542,slopenormal,PCompareNormal,FDAX,13.9542
ema,3mins,0,5.1031,slopenormal,PCompareNormal,FDAX,5.1031
ROC,5mins,0,0.2827,slopenormal,PCompareNormal,FDAX,0.2827
RVIsignal,5mins,0,0.1418,slopenormal,PCompareNormal,FDAX,0.1418
RVI_CROSS,5mins,0,0.0627,slopenormal,PCompareNormal,FDAX,0.0627
RVIline,5mins,0,0.1142,slopenormal,PCompareNormal,FDAX,0.1142
AO,5mins,0,16.4568,slopenormal,PCompareNormal,FDAX,16.4568
AOAcc,5mins,0,6.1939,slopenormal,PCompareNormal,FDAX,6.1939
RSI,5mins,0,15.527,slopenormal,PCompareNormal,FDAX,15.527
mcross,5mins,0,6.5965,slopenormal,PCompareNormal,FDAX,6.5965
Stoch_CROSS,5mins,0,11.3251,slopenormal,PCompareNormal,FDAX,11.3251
mcd,5mins,0,3.3003,slopenormal,PCompareNormal,FDAX,3.3003
RVI_CROSS,5mins,0,0.0627,slopenormal,PCompareNormal,FDAX,0.0627
StochD,5mins,0,26.6567,slopenormal,PCompareNormal,FDAX,26.6567
StochK,5mins,0,31.0545,slopenormal,PCompareNormal,FDAX,31.0545
